,Trait,Sequence,Model,Log-likelihood,Corrected AIC,LOCO MSE,Z0,True Z0,Zeq
22,gc_content,segment_11196_11705,NeutralModel,133.83491191017617,-255.85164200217054,0.0,0.3726355936637198,0.3980392156862745,0.8461233571309527
23,gc_content,segment_11196_11705,NeutralModel (fixed u=1.34),133.64644296365864,-258.116415339082,0.0,0.34284848587671846,0.3980392156862745,0.9283083029473548
24,gc_content,segment_11196_11705,"NeutralModel (fixed u=1.34, Z_eq=0.44)",133.7720808555558,-260.8584474253973,0.0,0.37176918150694427,0.3980392156862745,0.7381006909841468
25,gc_content,segment_11196_11705,"NeutralModel (fixed u=1.34, Z_eq=0.44, sigma_eq=0.2464/L)",133.6391283354639,-262.9449233375945,0.0,0.3712967379058471,0.3980392156862745,0.741630146927081
26,gc_content,segment_11196_11705,OU,133.725696323576,-258.2749220589167,0.0,0.37026034849056777,0.3980392156862745,0.8917893301959142
27,gc_content,segment_11196_11705,OU (Z0=Zeq),133.46101419790364,-260.23631411009296,0.0,0.4201227149458038,0.3980392156862745,0.4201227149458038
28,gc_content,segment_11196_11705,BM,133.67109387454866,-263.008854415764,0.0,0.4200399863132378,0.3980392156862745,0.4200399863132378
29,longest_ORF,segment_11196_11705,NeutralModel,57.14691673192914,-102.47565164567646,0.0,0.2527825028791678,0.14313725490196078,-0.33003659420368037
30,longest_ORF,segment_11196_11705,NeutralModel (fixed u=1.34),56.80866855171885,-104.44086651520242,0.0,0.24527122139539287,0.14313725490196078,-0.5384836277911151
31,longest_ORF,segment_11196_11705,OU,75.3168728690971,-141.4572751499589,0.0,1.4356786843199492,0.14313725490196078,0.1421232545297591
32,longest_ORF,segment_11196_11705,OU (Z0=Zeq),75.27360270207205,-143.86149111842983,0.0,0.1425560524888805,0.14313725490196078,0.1425560524888805
33,longest_ORF,segment_11196_11705,BM,50.53690442617269,-96.74047551901205,0.0,0.14227126122813943,0.14313725490196078,0.14227126122813943
34,A_percent,segment_11196_11705,NeutralModel,143.5495309975482,-275.2808801769146,0.0,0.2621306327804493,0.28823529411764703,0.3644060704680633
35,A_percent,segment_11196_11705,NeutralModel (fixed u=1.34),143.69888299032468,-278.22129539241405,0.0,0.2867506153623915,0.28823529411764703,0.17783507687391903
36,A_percent,segment_11196_11705,OU,143.684676993004,-278.1928833977727,0.0,0.2778816346763971,0.28823529411764703,0.05153707891851804
37,A_percent,segment_11196_11705,OU (Z0=Zeq),143.65221559735565,-280.618716908997,0.0,0.27239272707896384,0.28823529411764703,0.27239272707896384
38,A_percent,segment_11196_11705,BM,143.65237939977968,-282.97142546622604,0.0,0.272401219049898,0.28823529411764703,0.272401219049898
39,longest_ORF_alan,segment_11196_11705,NeutralModel,-189.57001354927712,390.95820891673606,0.0,8.723982841080598,34.0,254.79490685873049
40,longest_ORF_alan,segment_11196_11705,NeutralModel (fixed u=1.34),-185.08205759528155,379.3405857787984,0.0,71.07838671393392,34.0,-44.60677776209261
41,longest_ORF_alan,segment_11196_11705,OU,-169.80219095620703,348.78085250064936,0.0,18113.54988982291,34.0,57.14357335457414
42,longest_ORF_alan,segment_11196_11705,OU (Z0=Zeq),-169.7882404158132,346.2621951173407,0.0,57.22781563472097,34.0,57.22781563472097
43,longest_ORF_alan,segment_11196_11705,BM,-191.10270837571434,386.538750084762,0.0,55.56917859920456,34.0,55.56917859920456
44,gc_content,segment_320_722,NeutralModel,115.85149922181157,-219.82799844362313,0.0,0.5510959438259179,0.533498759305211,0.000966061123697815
45,gc_content,segment_320_722,NeutralModel (fixed u=1.34),115.74111296041062,-222.27010470870002,0.0,0.5384929925005512,0.533498759305211,0.2165026612189567
46,gc_content,segment_320_722,"NeutralModel (fixed u=1.34, Z_eq=0.44)",115.7655864430512,-224.82529053316122,0.0,0.5589855746913924,0.533498759305211,0.0806347382385107
47,gc_content,segment_320_722,"NeutralModel (fixed u=1.34, Z_eq=0.44, sigma_eq=0.2464/L)",115.6480116927018,-226.95316624254644,0.0,0.5591052367982201,0.533498759305211,0.07929065807282602
48,gc_content,segment_320_722,OU,115.90321715353961,-222.594313094958,0.0,0.49649041596294924,0.533498759305211,0.5934942969482024
49,gc_content,segment_320_722,OU (Z0=Zeq),115.90321714700886,-225.10055194107653,0.0,0.4964908681719681,0.533498759305211,0.4964908681719681
50,gc_content,segment_320_722,BM,115.90050026482555,-227.45814338679395,0.0,0.49649033085304906,0.533498759305211,0.49649033085304906
51,longest_ORF,segment_320_722,NeutralModel,66.22282676400903,-120.57065352801806,0.0,0.9156331947804391,0.18858560794044665,-2.853528214351146
52,longest_ORF,segment_320_722,NeutralModel (fixed u=1.34),66.03315465624121,-122.8541881003612,0.0,0.8868029184453439,0.18858560794044665,-4.332568672290081
53,longest_ORF,segment_320_722,OU,70.51524875483078,-131.81837629754034,0.0,16.944322391441638,0.18858560794044665,0.06260769244604672
54,longest_ORF,segment_320_722,OU (Z0=Zeq),64.8228633271016,-122.93984430126203,0.0,0.20384018445560567,0.18858560794044665,0.20384018445560567
55,longest_ORF,segment_320_722,BM,60.86372618220045,-117.38459522154376,0.0,0.2018981014865239,0.18858560794044665,0.2018981014865239
56,A_percent,segment_320_722,NeutralModel,121.83778385656542,-231.80056771313085,0.0,0.22617576820269764,0.21588089330024815,0.32921623639435005
57,A_percent,segment_320_722,NeutralModel (fixed u=1.34),121.75136420618988,-234.29060720025853,0.0,0.22671813254016995,0.21588089330024815,0.30096512618899585
58,A_percent,segment_320_722,OU,122.02884832057394,-234.84557542902667,0.0,0.23642667404482112,0.21588089330024815,0.23319275981792317
59,A_percent,segment_320_722,OU (Z0=Zeq),122.0806196028677,-237.4553568527942,0.0,0.23638095413956325,0.21588089330024815,0.23638095413956325
60,A_percent,segment_320_722,BM,122.08062175895097,-239.81838637504478,0.0,0.23637943682903403,0.21588089330024815,0.23637943682903403
61,longest_ORF_alan,segment_320_722,NeutralModel,-172.84840421305512,357.57180842611024,0.0,60.62462905018371,45.0,17.350945720398062
62,longest_ORF_alan,segment_320_722,NeutralModel (fixed u=1.34),-170.3695525372775,349.9512262866762,0.0,148.91782671266728,45.0,-583.3498742084313
63,longest_ORF_alan,segment_320_722,OU,-166.78980466826002,342.7917305486412,0.0,2034.543510607419,45.0,4.404980764402599
64,longest_ORF_alan,segment_320_722,OU (Z0=Zeq),-168.3422322209978,343.39034679493676,0.0,53.75263106249947,45.0,53.75263106249947
65,longest_ORF_alan,segment_320_722,BM,-173.87422156434383,352.0913002715448,0.0,52.409541000913585,45.0,52.409541000913585
66,gc_content,segment_10270_10563,NeutralModel,110.91540721743091,-209.95581443486182,0.0,0.3369125591193423,0.445578231292517,1.2759946765788128
67,gc_content,segment_10270_10563,NeutralModel (fixed u=1.34),110.9245151177959,-212.6369090234706,0.0,0.33723848336696777,0.445578231292517,1.1787887961042745
68,gc_content,segment_10270_10563,"NeutralModel (fixed u=1.34, Z_eq=0.44)",110.92451511807427,-215.14314788320735,0.0,0.3372399746078107,0.445578231292517,1.1787796123410925
