,Trait,Sequence,Model,Log-likelihood,Corrected AIC,Pairwise Divergence Error,LOCO MSE,Z0,True Z0,Zeq
80,longest_ORF,segment_10270_10563,NeutralModel (fixed u=1.34),90.59726549504154,-171.98240977796186,0.002748633047123141,0.05139902572120873,0.2825950835670513,,0.3238606981017648
81,longest_ORF,segment_10270_10563,OU,91.84261373352979,-174.47310625493836,0.0027165258568415574,0.049037418425080415,0.2897003161208899,,137.28660046373975
82,longest_ORF,segment_10270_10563,OU (Z0=Zeq),91.76438044892602,-176.82287854491085,0.0027161417931147094,0.0415103182595925,0.29494232684342475,,0.29494232684342475
83,longest_ORF,segment_10270_10563,BM,91.7643807963204,-179.18590444978364,0.0027161417858489016,0.04132014478804341,0.2949428246910419,,0.2949428246910419
84,A_percent,segment_10270_10563,NeutralModel,122.98321096125974,-234.0914219225195,0.00040764610185815484,0.006798260752308545,0.2188545073573362,,0.26105985859189856
85,A_percent,segment_10270_10563,NeutralModel (fixed u=1.34),122.91902990458563,-236.62593859705004,0.00040296952930856224,0.006927803126072734,0.21845237792148295,,0.25235512431610824
86,A_percent,segment_10270_10563,"NeutralModel (fixed u=1.34, Z_eq=0.28)",122.91902990497623,-239.13217745701127,0.0004029699970087354,0.0071199750204782525,0.21845251370558064,,0.252355008592727
87,A_percent,segment_10270_10563,"NeutralModel (fixed u=1.34, Z_eq=0.28, sigma_eq=0.2016/L)",122.81509302637254,-241.28732890988792,0.0003961680467868952,0.006638653908500086,0.22020821520440914,,0.24599145120453483
88,A_percent,segment_10270_10563,OU,122.97752206758925,-236.74292292305728,0.0004290054292435372,0.006652887504730144,0.21990798203213716,,0.5303101798578091
89,A_percent,segment_10270_10563,OU (Z0=Zeq),122.49617005046113,-238.28645774798107,0.000421043633296187,0.006831910169465919,0.22593587246796587,,0.22593587246796587
90,A_percent,segment_10270_10563,BM,122.48573176059449,-240.62860637833182,0.0004243418976072714,0.006862289212966502,0.22576230522262417,,0.22576230522262417
91,longest_ORF_alan,segment_10270_10563,NeutralModel,-142.0624138085424,295.9998276170848,450.72384792842547,3865.952682400306,73.463626963567,,-0.8639600449517176
92,longest_ORF_alan,segment_10270_10563,NeutralModel (fixed u=1.34),-142.22112808131737,293.65437737475594,455.439059768457,3735.6010044916975,69.9594045030079,,-17.21422096751547
93,longest_ORF_alan,segment_10270_10563,OU,-140.32960046893083,289.87132214998286,362.35529951029173,4346.10680165212,94.62249790678524,,30.175340566651144
94,longest_ORF_alan,segment_10270_10563,OU (Z0=Zeq),-143.6047962360846,293.9154748251104,357.8991230651065,5385.0077087519185,37.64969000053347,,37.64969000053347
95,longest_ORF_alan,segment_10270_10563,BM,-146.0050281448125,296.3529134324822,488.8430390567832,5268.500118158458,53.47677440209033,,53.47677440209033
96,gc_content,segment_11935_12275,NeutralModel,116.65712563263459,-221.37876739430143,0.0009193615595043336,0.015105540596426196,0.4978212846208338,,0.3465263707763568
97,gc_content,segment_11935_12275,NeutralModel (fixed u=1.34),116.63332149497305,-224.0166429899461,0.000902260835998965,0.015107256058366261,0.4988281407758213,,0.37647167761906886
98,gc_content,segment_11935_12275,"NeutralModel (fixed u=1.34, Z_eq=0.44)",116.63332149889513,-226.53937027051754,0.0009022521775169007,0.01845874457658354,0.49882804572919276,,0.376471631843888
99,gc_content,segment_11935_12275,"NeutralModel (fixed u=1.34, Z_eq=0.44, sigma_eq=0.2464/L)",115.49784615783466,-226.64275113919874,0.0009494584022536331,0.01548227533789091,0.49831201189502156,,0.37929807877814853
100,gc_content,segment_11935_12275,OU,115.60321610881017,-221.95643221762035,0.0009568677191204936,0.015588041475448846,0.4973916947266476,,0.3549630255460039
101,gc_content,segment_11935_12275,OU (Z0=Zeq),114.52168174728544,-222.31609076729816,0.0009711643258315836,0.014897337895872257,0.4725478938352607,,0.4725478938352607
102,gc_content,segment_11935_12275,BM,114.53015529847005,-224.70736942046952,0.0009781609862431384,0.014856048570375544,0.47299441460628666,,0.47299441460628666
103,longest_ORF,segment_11935_12275,NeutralModel,73.50116375493823,-135.06684363890872,0.006311965826506691,0.08886702573662339,0.1947641857137758,,0.3138858371288687
104,longest_ORF,segment_11935_12275,NeutralModel (fixed u=1.34),73.02115899253965,-136.7923179850793,0.0067900257712881,0.08911766118483033,0.19852090201101322,,0.34562425455064105
105,longest_ORF,segment_11935_12275,OU,75.56328927018626,-141.87657854037252,0.004683474787902007,0.2032427579739241,0.06324094617346866,,0.2613662719026117
106,longest_ORF,segment_11935_12275,OU (Z0=Zeq),75.06874003436715,-143.4102073414616,0.004620501393531115,0.09219377877260729,0.2540884607527167,,0.2540884607527167
107,longest_ORF,segment_11935_12275,BM,70.07076485100535,-135.78858852554012,0.009535758389484748,0.09101078955911887,0.2300607142582542,,0.2300607142582542
108,A_percent,segment_11935_12275,NeutralModel,140.2553187918653,-268.57515371276287,0.00026242564425627967,0.0034362549316942948,0.264850217366225,,0.2523517024238344
109,A_percent,segment_11935_12275,NeutralModel (fixed u=1.34),140.19008137427886,-271.1301627485577,0.0002615543460591045,0.003600281658449533,0.26500657982053455,,0.25449176052158407
110,A_percent,segment_11935_12275,"NeutralModel (fixed u=1.34, Z_eq=0.28)",140.1900811712916,-273.65288961531047,0.00026155533502695926,0.003461692516417791,0.2650103453182771,,0.2544770229131379
111,A_percent,segment_11935_12275,"NeutralModel (fixed u=1.34, Z_eq=0.28, sigma_eq=0.2016/L)",138.84799053837415,-273.3430399002777,0.000270240198666457,0.0035230163373523578,0.2631908232977082,,0.2585692766549601
112,A_percent,segment_11935_12275,OU,138.7042894143972,-268.1585788287944,0.0002834114379082207,0.0034635939597620377,0.26220924537104023,,0.26220928598617627
113,A_percent,segment_11935_12275,OU (Z0=Zeq),138.7042894083562,-270.68130608943966,0.00028341143311462176,0.003124198656610476,0.2622092573633169,,0.2622092573633169
114,A_percent,segment_11935_12275,BM,138.69174844220328,-273.03055570793595,0.00028446567178638235,0.0031210065310380785,0.2622092378528102,,0.2622092378528102
115,longest_ORF_alan,segment_11935_12275,NeutralModel,-126.07349495607414,264.08247378311603,328.5774243538492,5636.890516045616,38.58599352134047,,62.090908360347505
116,longest_ORF_alan,segment_11935_12275,NeutralModel (fixed u=1.34),-126.07024259324447,261.39048518648895,343.5006977156339,7072.527604505461,34.856224487492646,,84.80952867346143
117,longest_ORF_alan,segment_11935_12275,OU,-125.99390843360538,261.23781686721077,330.70342749895127,7812.6210450709195,34.464490732126784,,72.60219173833713
118,longest_ORF_alan,segment_11935_12275,OU (Z0=Zeq),,,,,,,
119,longest_ORF_alan,segment_11935_12275,BM,-127.26194794457506,258.87683706562075,387.3694383615743,5212.795031693879,46.65968327334018,,46.65968327334018
120,gc_content,segment_7916_8695,NeutralModel,124.80871201890989,-237.85271815546685,0.0006075977829914847,0.012055214146852792,0.4212629483651897,,0.4363063555443962
121,gc_content,segment_7916_8695,NeutralModel (fixed u=1.34),124.6587319805775,-240.17460681829786,0.0006055637086156247,0.012108038586501326,0.42128069088710574,,0.4323841830552517
122,gc_content,segment_7916_8695,"NeutralModel (fixed u=1.34, Z_eq=0.44)",124.65873198057676,-242.65079729448686,0.0006055636759047872,0.012108399889099808,0.4212807038165057,,0.43238418152441754
123,gc_content,segment_7916_8695,"NeutralModel (fixed u=1.34, Z_eq=0.44, sigma_eq=0.2464/L)",123.760587250723,-243.1968501771217,0.0006405067550438212,0.01146514983178968,0.4125134114215839,,0.4635697426690555
124,gc_content,segment_7916_8695,OU,124.49407199321641,-239.84528684357568,0.0006550814615339143,0.01125731769289503,0.41305074355149735,,21.542778523390602
125,gc_content,segment_7916_8695,OU (Z0=Zeq),124.04340226141017,-241.42013785615367,0.0006450575353430593,0.01058502504569999,0.4236325249878375,,0.4236325249878375
126,gc_content,segment_7916_8695,BM,124.04340411553022,-243.76248390673612,0.0006450807066676795,0.010574981899015899,0.423634624218404,,0.423634624218404
127,longest_ORF,segment_7916_8695,NeutralModel,82.63220555550348,-153.49970522865402,0.0034998369216576296,0.02285201619120538,0.11757020768008813,,0.15373685491073258
128,longest_ORF,segment_7916_8695,NeutralModel (fixed u=1.34),81.68435840662693,-154.22585967039672,0.003902541276020716,0.022829342904263084,0.1180961472640792,,0.16755389326937659
129,longest_ORF,segment_7916_8695,OU,97.91181183398615,-186.68076652511516,0.0010044847075349169,4657.484112772775,0.6642232712990481,,0.12515175350737837
130,longest_ORF,segment_7916_8695,OU (Z0=Zeq),97.87145992434428,-189.0762531820219,0.0010049860021607289,0.016631457011344865,0.12543517007767138,,0.12543517007767138
131,longest_ORF,segment_7916_8695,BM,78.26277326571775,-152.2012222071112,0.005540946789792521,0.021082194554150193,0.128133992307232,,0.128133992307232
132,A_percent,segment_7916_8695,NeutralModel,137.55130742800773,-263.33790897366254,0.00027188338557351284,0.005767657141658585,0.2599364971930384,,0.33865426131902904
133,A_percent,segment_7916_8695,NeutralModel (fixed u=1.34),137.68048369844917,-266.21811025404116,0.00026986060579788475,0.006003185890127223,0.25808724604125943,,0.32865161621855826
134,A_percent,segment_7916_8695,"NeutralModel (fixed u=1.34, Z_eq=0.28)",137.68048369862734,-268.694300730588,0.00026985967498674245,0.005998879794588669,0.25808796671695117,,0.3286492375581222
135,A_percent,segment_7916_8695,"NeutralModel (fixed u=1.34, Z_eq=0.28, sigma_eq=0.2016/L)",137.58685111092504,-270.84937789752576,0.0002610512124506935,0.0057081184975384365,0.26302569142880006,,0.3114103621165112
136,A_percent,segment_7916_8695,OU,137.14245998925918,-265.1420628356612,0.00027936007962854425,0.005421576941519223,0.2651512928444269,,0.5664403837267531
137,A_percent,segment_7916_8695,OU (Z0=Zeq),136.80933829039688,-266.9520099141271,0.00027643532724247656,0.005063880738116948,0.271974258670566,,0.271974258670566
138,A_percent,segment_7916_8695,BM,136.79031286048794,-269.25630139665157,0.00027835448622893296,0.0050750108563016125,0.2717760722000298,,0.2717760722000298
139,longest_ORF_alan,segment_7916_8695,NeutralModel,-163.4880216691182,338.74074922058935,787.5980869088236,11542.812797384031,43.60811985756996,,87.86293281526682
140,longest_ORF_alan,segment_7916_8695,NeutralModel (fixed u=1.34),-164.00712547165872,337.1571080861746,834.1805978714885,11444.283167415842,44.558688219731714,,101.19121143557001
141,longest_ORF_alan,segment_7916_8695,OU,-159.6559668480585,328.4547908389742,552.1811088909782,13868.762149211581,-27.15599899968957,,65.29878270057277
142,longest_ORF_alan,segment_7916_8695,OU (Z0=Zeq),-160.16855541083856,327.0037774883438,549.9558657629483,10178.214568382999,63.85873338074511,,63.85873338074511
143,longest_ORF_alan,segment_7916_8695,BM,-167.66608066350784,339.65648565134,1073.0993879335456,11976.073596246631,55.99058179753732,,55.99058179753732
