,Trait,Sequence,Model,Log-likelihood,Corrected AIC,Pairwise Divergence Error,LOCO MSE,Z0,True Z0,Zeq
16,A_percent,segment_8938_9248,OU,114.61830776418739,-219.98661552837478,0.0004158688811006101,0.011291077004623402,0.7786575862604718,0.3665594855305466,0.32455788268369923
17,A_percent,segment_8938_9248,OU (Z0=Zeq),112.73592001711754,-218.74456730696235,0.00043627224810767836,0.006742808825607801,0.3262153733585259,0.3665594855305466,0.3262153733585259
18,A_percent,segment_8938_9248,BM,104.02675457474253,-203.70056797301447,0.0015117178583731108,0.006157249394839976,0.347314467495582,0.3665594855305466,0.347314467495582
19,longest_ORF_alan,segment_8938_9248,NeutralModel,-668.5885159668835,1349.1125158047348,2709.2513606425273,4098.217103042317,39.31612980175505,73.0,39.178225196225235
20,longest_ORF_alan,segment_8938_9248,NeutralModel (fixed u=1.34),-1311.04876102135,2631.3475220427,1319.4187266282408,4969.032481048219,42.93183107013203,73.0,45.836318262451734
21,longest_ORF_alan,segment_8938_9248,OU,-713.4574353199605,1436.164870639921,1527.140506168635,20696.894780241004,15.855394597017217,73.0,-80.87173777555708
22,longest_ORF_alan,segment_8938_9248,OU (Z0=Zeq),-232.08180012035743,470.8908729679876,314504.85910169146,4527.193257201112,41.672001617558784,73.0,41.672001617558784
23,longest_ORF_alan,segment_8938_9248,BM,-563.1168074297487,1130.586556035968,6578.458394874366,4024.0159984397887,42.94790295181348,73.0,42.94790295181348
24,gc_content,segment_11196_11705,NeutralModel,124.98573740059123,-238.15329298300065,0.0004469005164859288,0.0036492224531317267,0.385816329508191,0.3980392156862745,0.4597217190609563
25,gc_content,segment_11196_11705,NeutralModel (fixed u=1.34),124.2322452773771,-239.2880199665189,0.0004989951075857782,0.003854293795637196,0.3875232715072107,0.3980392156862745,0.4810281262586021
26,gc_content,segment_11196_11705,"NeutralModel (fixed u=1.34, Z_eq=0.44)",124.23224527811561,-241.77877627051694,0.0004989931902543442,0.0038543678703444996,0.3875234320987505,0.3980392156862745,0.4810268146328134
27,gc_content,segment_11196_11705,"NeutralModel (fixed u=1.34, Z_eq=0.44, sigma_eq=0.2464/L)",123.03844060399695,-241.74354787466055,0.0004833754720053445,0.0038954083229444433,0.3925310353570041,0.3980392156862745,0.46387299063573884
28,gc_content,segment_11196_11705,OU,129.17364770233485,-249.1708248164344,0.00026486828053184767,0.026921600631837843,0.3325947022183539,0.3980392156862745,0.4253161309918684
29,gc_content,segment_11196_11705,OU (Z0=Zeq),126.6298184113916,-246.5739225370689,0.0002812128953677514,0.004565414635646061,0.4217139262089015,0.3980392156862745,0.4217139262089015
30,gc_content,segment_11196_11705,BM,120.66777251658016,-237.00221169982697,0.0005944427708383428,0.004106023969920571,0.405969021204567,0.3980392156862745,0.405969021204567
31,longest_ORF,segment_11196_11705,NeutralModel,42.010784096038186,-72.20338637389456,0.037735674127015846,0.057861996554912934,0.17658914871586803,0.14313725490196078,0.12966138004317962
32,longest_ORF,segment_11196_11705,NeutralModel (fixed u=1.34),40.95856433277821,-72.74065807732113,0.04219047095585301,0.06741150834599118,0.1737278361611621,0.14313725490196078,0.12595523327996516
33,longest_ORF,segment_11196_11705,OU,77.20486005268549,-145.23324951713568,0.0023180165818495802,0.05757338199293807,-5.133212054217869,0.14313725490196078,0.14144408251697904
34,longest_ORF,segment_11196_11705,OU (Z0=Zeq),77.20486006076563,-147.72400583581697,0.0023180411810582073,0.05632715424813129,0.14144420395754292,0.14313725490196078,0.14144420395754292
35,longest_ORF,segment_11196_11705,BM,37.044145796662235,-69.75495825999114,0.05984751094668362,0.054407451209507324,0.16235947761805639,0.14313725490196078,0.16235947761805639
36,A_percent,segment_11196_11705,NeutralModel,136.13939356008942,-260.460605301997,0.00022177722603368378,0.0018504949960560053,0.2797238760915741,0.28823529411764703,0.26618426798471584
37,A_percent,segment_11196_11705,NeutralModel (fixed u=1.34),135.44198164855936,-261.7074927088834,0.00024350373470512546,0.001839394319164888,0.27917849794910365,0.28823529411764703,0.26346464741100484
38,A_percent,segment_11196_11705,"NeutralModel (fixed u=1.34, Z_eq=0.28)",135.4419816457012,-264.19824900568807,0.00024350715125414857,0.0018408693028064123,0.27917829852161236,0.28823529411764703,0.2634657182783494
39,A_percent,segment_11196_11705,"NeutralModel (fixed u=1.34, Z_eq=0.28, sigma_eq=0.2016/L)",134.27307972959215,-264.212826125851,0.0002491904347826877,0.0018098355098064378,0.2778383369682756,0.28823529411764703,0.2678193819565799
40,A_percent,segment_11196_11705,OU,139.99149732797966,-270.806524067724,0.00014814300651051765,0.006452635247677794,0.29932667689732634,0.28823529411764703,0.2710762413544825
41,A_percent,segment_11196_11705,OU (Z0=Zeq),139.6716863169073,-272.6576583481003,0.00014766298288730346,0.002275275819341824,0.27180430594866395,0.28823529411764703,0.27180430594866395
42,A_percent,segment_11196_11705,BM,132.44636692957343,-260.55940052581354,0.00032419722454588837,0.0017182900206489165,0.27605607814833943,0.28823529411764703,0.27605607814833943
43,longest_ORF_alan,segment_11196_11705,NeutralModel,-200.04672252783442,411.91162687385065,8367.905142997164,17798.352115443548,77.67126813110877,34.0,44.2535498878718
44,longest_ORF_alan,segment_11196_11705,NeutralModel (fixed u=1.34),-201.853169161781,412.8828089117973,8238.270730715154,17701.149442259873,70.50000928591953,34.0,62.549430328408995
45,longest_ORF_alan,segment_11196_11705,OU,-167.6478410908728,344.4721527699809,691.3498730983017,15276.00284959647,99707.3510657352,34.0,56.92872828550022
