,Trait,Sequence,Model,Corrected AIC,LOCO MSE,Z0,Zeq
26,longest_ORF,segment_11196_11705,NeutralModel (fixed u=1.3),-72.6105233520076,0.058749897281176064,0.17355887219359886,0.12562385304434862
27,longest_ORF,segment_11196_11705,OU,,,,
28,longest_ORF,segment_11196_11705,OU (Z0=Zeq),-147.72400576526448,0.05632558300448787,0.14144585899312004,0.14144585899312004
29,longest_ORF,segment_11196_11705,BM,-69.75495825999083,0.054407368055145344,0.1623594486253344,0.1623594486253344
30,A_percent,segment_11196_11705,NeutralModel,-236.90497748592867,0.0021387583182275647,0.23693459459417057,0.46706917539250936
31,A_percent,segment_11196_11705,NeutralModel (fixed u=1.3),-261.6186415000492,0.0018682128546157774,0.27914691097723404,0.263209960270708
32,A_percent,segment_11196_11705,OU,,,,
33,A_percent,segment_11196_11705,OU (Z0=Zeq),,,,
34,A_percent,segment_11196_11705,BM,-260.55940052588403,0.0017182854041068434,0.2760561693519849,0.2760561693519849
35,longest_ORF_alan,segment_11196_11705,NeutralModel,456.3344881701303,21614.734397169297,202.1834709266585,98.92422806876446
36,longest_ORF_alan,segment_11196_11705,NeutralModel (fixed u=1.3),413.01065703749697,17537.28526264137,106.01435141948717,-32.519057579557696
37,longest_ORF_alan,segment_11196_11705,OU,,,,
38,longest_ORF_alan,segment_11196_11705,OU (Z0=Zeq),,,,
39,longest_ORF_alan,segment_11196_11705,BM,412.3671693082781,17504.52597179828,69.53949416926466,69.53949416926466
40,gc_content,segment_320_722,NeutralModel,-223.74046741982022,0.005756117578620965,0.5603076329161482,0.42996360976694753
41,gc_content,segment_320_722,NeutralModel (fixed u=1.3),-225.02885327364783,0.005848734352998029,0.558251930518518,0.38740208885697086
42,gc_content,segment_320_722,OU,-228.55439512043057,0.10650210059819802,0.5866813693002185,0.47989948927232584
43,gc_content,segment_320_722,OU (Z0=Zeq),-232.16158860532573,0.012089578474890983,0.5333025075991834,0.5333025075991834
44,gc_content,segment_320_722,BM,-216.6573418689294,0.009606931969517646,0.5333027053087375,0.5333027053087375
45,longest_ORF,segment_320_722,NeutralModel,-107.73845914965781,0.09795099072535074,0.24482114061494867,0.13316149610161143
46,longest_ORF,segment_320_722,NeutralModel (fixed u=1.3),-108.50725664126546,0.09348998998484984,0.24343629791116744,0.09052971854892446
47,longest_ORF,segment_320_722,OU,-126.74037706587083,10691.033418421133,0.552990218080347,0.20456316286210938
48,longest_ORF,segment_320_722,OU (Z0=Zeq),-129.0636889934156,0.08422482694722246,0.20536286670588186,0.20536286670588186
49,longest_ORF,segment_320_722,BM,-105.03975076774059,0.0895095926103387,0.226050879364963,0.226050879364963
50,A_percent,segment_320_722,NeutralModel,-168.50756120415403,0.006534459378278492,0.20501748196028327,0.27185173517240524
51,A_percent,segment_320_722,NeutralModel (fixed u=1.3),-168.94829335438,0.005723645205841403,0.20604406278336232,0.294317450603387
52,A_percent,segment_320_722,OU,,,,
53,A_percent,segment_320_722,OU (Z0=Zeq),-203.86224129735834,0.009611862405662128,0.24112311159017824,0.24112311159017824
54,A_percent,segment_320_722,BM,-165.71700221863773,0.006204113659136429,0.21769919425664466,0.21769919425664466
55,longest_ORF_alan,segment_320_722,NeutralModel,373.9253889567551,14813.875411818963,57.25805315841346,31.2544394316443
56,longest_ORF_alan,segment_320_722,NeutralModel (fixed u=1.3),374.8193699432484,14844.07508883954,56.70598004851149,17.459433606126645
57,longest_ORF_alan,segment_320_722,OU,787.353365964537,14244.57644579702,62.131929721786356,0.5423589319290951
58,longest_ORF_alan,segment_320_722,OU (Z0=Zeq),671.6394693291447,14497.832661100569,50.218222203182215,50.218222203182215
59,longest_ORF_alan,segment_320_722,BM,374.86314847099527,14133.077903718708,51.2618956149774,51.2618956149774
60,gc_content,segment_10270_10563,NeutralModel,-224.5795378600487,0.007249590715172628,0.44049019220804686,0.4749152385477374
61,gc_content,segment_10270_10563,NeutralModel (fixed u=1.3),-227.06186980365877,0.00749251133638229,0.44067163824888395,0.4667962397150137
62,gc_content,segment_10270_10563,OU,-226.44080242410476,0.0075638150446506805,0.4367938691440785,35.76395726341963
63,gc_content,segment_10270_10563,OU (Z0=Zeq),-227.60360293009757,0.0069530069106233895,0.4469261508049191,0.4469261508049191
64,gc_content,segment_10270_10563,BM,-229.76119425842913,0.006400304180438417,0.4452438722788732,0.4452438722788732
65,longest_ORF,segment_10270_10563,NeutralModel,-124.51915533679298,0.05215561634253931,0.260101306719168,0.17201085876215935
66,longest_ORF,segment_10270_10563,NeutralModel (fixed u=1.3),-124.97097430015955,0.05179475627199608,0.2594724590787265,0.1439205433412194
67,longest_ORF,segment_10270_10563,OU,-145.21492958073068,0.04854658488530871,2.995950126434031,0.19590514896085753
68,longest_ORF,segment_10270_10563,OU (Z0=Zeq),-143.08117402833008,0.047847146193990164,0.19890888831560227,0.19890888831560227
69,longest_ORF,segment_10270_10563,BM,-125.01484683103358,0.04910220502722857,0.2399754267849068,0.2399754267849068
70,A_percent,segment_10270_10563,NeutralModel,-236.9064418833113,0.003964194398514014,0.25166355853285644,0.26723871365109153
71,A_percent,segment_10270_10563,NeutralModel (fixed u=1.3),-239.09236704449864,0.0038880594087260753,0.2524041987946211,0.2705938274967721
72,A_percent,segment_10270_10563,OU,-238.15501415410864,0.004554056122264452,0.24801699163256888,0.2653605666782193
73,A_percent,segment_10270_10563,OU (Z0=Zeq),-239.9627135194066,0.004350959161442031,0.2591931048111259,0.2591931048111259
74,A_percent,segment_10270_10563,BM,-240.29910382671926,0.0036498412909317674,0.2557794269229407,0.2557794269229407
75,longest_ORF_alan,segment_10270_10563,NeutralModel,307.17618705284985,6371.527347286947,82.60809920250591,12.402131012660002
76,longest_ORF_alan,segment_10270_10563,NeutralModel (fixed u=1.3),306.72907004071703,6382.297670544495,81.07013428624333,-8.842127917479814
77,longest_ORF_alan,segment_10270_10563,OU,294.4445332515337,10741.933880089588,365.9518923798493,41.64889377163248
78,longest_ORF_alan,segment_10270_10563,OU (Z0=Zeq),300.95311241061523,6699.871522323617,43.89618890094679,43.89618890094679
