,Trait,Sequence,Model,Corrected AIC,LOCO MSE,Z0,Zeq
30,A_percent,segment_11196_11705,NeutralModel,-274.956295623757,0.00203529,0.25142380739859005,0.4605161114280955
31,A_percent,segment_11196_11705,NeutralModel (fixed u=1.3),-278.22216944062126,0.00181858,0.2867182273486652,0.174940348895367
32,A_percent,segment_11196_11705,OU,-278.1288470022418,0.00184037,0.27243675218736896,0.2702557278533617
33,A_percent,segment_11196_11705,OU (Z0=Zeq),-280.60129057020055,0.00185853,0.27237176948932457,0.27237176948932457
34,A_percent,segment_11196_11705,BM,-282.97142546607733,0.0018483,0.27240119952417463,0.27240119952417463
35,longest_ORF_alan,segment_11196_11705,NeutralModel,390.3897296263172,17862.90618528,65.54223679830122,13.653762089965962
36,longest_ORF_alan,segment_11196_11705,NeutralModel (fixed u=1.3),388.94799544764106,18365.44826396,26.897465656558687,250.27840685230677
37,longest_ORF_alan,segment_11196_11705,OU,730.9539742233226,15449.74974165,45.03361958826561,-305.6177027080654
38,longest_ORF_alan,segment_11196_11705,OU (Z0=Zeq),346.26290455705697,15429.17425537,57.22091339359141,57.22091339359141
39,longest_ORF_alan,segment_11196_11705,BM,386.53890011806266,17424.46206059,55.56264281833332,55.56264281833332
40,gc_content,segment_320_722,NeutralModel,-219.8327782792673,0.01171058,0.55738696568161,-0.055952374398780855
41,gc_content,segment_320_722,NeutralModel (fixed u=1.3),-222.33985501022232,0.01195106,0.5587917058797083,0.06829609319563668
42,gc_content,segment_320_722,OU,-223.0095692320323,0.01133964,0.5524397336624527,-212.45089872031667
43,gc_content,segment_320_722,OU (Z0=Zeq),-225.10055189860086,0.01124878,0.4964889894663051,0.4964889894663051
44,gc_content,segment_320_722,BM,-227.45814338817564,0.01124371,0.49649053991187414,0.49649053991187414
45,longest_ORF,segment_320_722,NeutralModel,-115.15587647666536,0.0616094,0.8468713870619431,-2.5625476902536044
46,longest_ORF,segment_320_722,NeutralModel (fixed u=1.3),-116.80042009172847,0.06167411,0.8075310003769481,-3.9455116012910967
47,longest_ORF,segment_320_722,OU,-131.81837635783796,0.05956496,16.945692822968653,0.0626116026928664
48,longest_ORF,segment_320_722,OU (Z0=Zeq),-122.93984429770283,0.08568306,0.20384017503520527,0.20384017503520527
49,longest_ORF,segment_320_722,BM,-117.38459522162627,0.08104488,0.20189791722750253,0.20189791722750253
