,Trait,Sequence,Model,Corrected AIC,LOCO MSE,Z0,Zeq
35,longest_ORF_alan,segment_11196_11705,NeutralModel,333.2094391293828,5844.119378109809,49.2794218269162,9.97860625001615
36,longest_ORF_alan,segment_11196_11705,NeutralModel (fixed u=1.3),330.8750794153121,5901.993806660318,71.29776215468036,-158.83888720878608
37,longest_ORF_alan,segment_11196_11705,OU,475.77030427840117,7562.516699202274,41.52187963694648,0.6889364036758259
38,longest_ORF_alan,segment_11196_11705,OU (Z0=Zeq),679.7042485168474,6643.679374451934,41.266237363693634,41.266237363693634
39,longest_ORF_alan,segment_11196_11705,BM,328.0842007545912,5604.842499281056,41.601572847390734,41.601572847390734
40,gc_content,segment_320_722,NeutralModel,-199.3550117243876,0.014400294980279182,1.0220907711541523,-4.1273116925869395
41,gc_content,segment_320_722,NeutralModel (fixed u=1.3),-201.82469251703884,0.01443045023977823,1.032197183230022,-3.0700916703577414
42,gc_content,segment_320_722,OU,-202.6506244709418,0.014932473150055301,0.9909726705813772,-534.3310339585113
43,gc_content,segment_320_722,OU (Z0=Zeq),-190.44458644959093,0.022756086212278905,0.5098774285851331,0.5098774285851331
44,gc_content,segment_320_722,BM,-192.79698047773476,0.02275641124081515,0.5097490037543552,0.5097490037543552
45,longest_ORF,segment_320_722,NeutralModel,-144.54574250119592,0.059483657106732805,0.42575778129304487,-1.550675698417914
46,longest_ORF,segment_320_722,NeutralModel (fixed u=1.3),-147.18373512601605,0.05945178931137726,0.42958570854167283,-1.1441115225096514
47,longest_ORF,segment_320_722,OU,-147.28049630193232,0.05428391320575191,0.4140680925456046,-170.7145163721845
48,longest_ORF,segment_320_722,OU (Z0=Zeq),-149.17678672199702,0.052491626362534696,0.22893218228172665,0.22893218228172665
49,longest_ORF,segment_320_722,BM,-151.53521271342922,0.05248256568141294,0.22890026951292233,0.22890026951292233
50,A_percent,segment_320_722,NeutralModel,-246.8968533062082,0.0032294997540050947,-0.05293115553406733,1.8294866150564149
51,A_percent,segment_320_722,NeutralModel (fixed u=1.3),-249.61884836455337,0.0032333778473722535,-0.048845405809611,2.169498583730062
52,A_percent,segment_320_722,OU,-249.38972561051528,0.003519604410513866,-0.054887852251276174,1.876387015889933
53,A_percent,segment_320_722,OU (Z0=Zeq),-237.46626347733553,0.0047442449184376505,0.2336558980682781,0.2336558980682781
54,A_percent,segment_320_722,BM,-239.8166166057978,0.004717742758961217,0.23365952047608302,0.23365952047608302
55,longest_ORF_alan,segment_320_722,NeutralModel,337.7700965514802,15123.234842154863,185.21892673216445,-531.1840740283604
56,longest_ORF_alan,segment_320_722,NeutralModel (fixed u=1.3),335.3027535135524,14685.633532898355,178.67666862592412,-834.8398425466634
57,longest_ORF_alan,segment_320_722,OU,792.3397990420326,15405.78134080605,74.99257204687574,0.8610190794338254
58,longest_ORF_alan,segment_320_722,OU (Z0=Zeq),683.2200544292901,14699.596234792556,74.59000597407848,74.59000597407848
59,longest_ORF_alan,segment_320_722,BM,331.6512886022116,13782.354793101204,49.22091696667518,49.22091696667518
60,gc_content,segment_10270_10563,NeutralModel,-139.16954722253607,0.02582977150102761,0.4772422488829135,0.3701693526914837
61,gc_content,segment_10270_10563,NeutralModel (fixed u=1.3),-141.19408005407044,0.026067141506211415,0.6176641378444234,-0.6177097206264507
62,gc_content,segment_10270_10563,OU,-159.98181797347152,0.02973047954577216,312.29727321395865,0.44625398051734944
63,gc_content,segment_10270_10563,OU (Z0=Zeq),-160.99091439043545,0.027209062044539673,0.4606950442703851,0.4606950442703851
64,gc_content,segment_10270_10563,BM,-143.163819490638,0.025800496944532618,0.45919312341843727,0.45919312341843727
65,longest_ORF,segment_10270_10563,NeutralModel,-134.82366893471192,0.05582208122931807,0.21440760017749566,0.8330223045619742
66,longest_ORF,segment_10270_10563,NeutralModel (fixed u=1.3),-137.8564708265619,0.055094710093018834,0.29398848191649823,0.14209678143066423
67,longest_ORF,segment_10270_10563,OU,-138.39127067758497,0.05986184168423937,0.21609579232967763,0.34606116342310683
68,longest_ORF,segment_10270_10563,OU (Z0=Zeq),-140.86261675709363,0.04982983807977644,0.27420154944368313,0.27420154944368313
69,longest_ORF,segment_10270_10563,BM,-142.01054230030388,0.04724285543470773,0.2747149908641724,0.2747149908641724
70,A_percent,segment_10270_10563,NeutralModel,-199.23815106281245,0.0075509787145274145,0.15536083525296554,0.5186941282268407
71,A_percent,segment_10270_10563,NeutralModel (fixed u=1.3),-200.99135332596916,0.0072759752606635685,0.15926739639092308,0.6682647194670571
72,A_percent,segment_10270_10563,OU,-211.31490892063317,0.007547201526440011,-0.3350188631969326,0.23971677131936106
73,A_percent,segment_10270_10563,OU (Z0=Zeq),-212.99685249852797,0.007149760173792318,0.22470010527964052,0.22470010527964052
74,A_percent,segment_10270_10563,BM,-203.59489794037134,0.007139038061248947,0.22463982616273617,0.22463982616273617
75,longest_ORF_alan,segment_10270_10563,NeutralModel,312.22384540561825,5580.605192370967,44.65439886302857,9.826107293088866
