,Trait,Sequence,Model,Corrected AIC,LOCO MSE,Z0,Zeq
43,gc_content,segment_320_722,OU (Z0=Zeq),-219.8642301772988,0.017760870281340057,0.5304342542361693,0.5304342542361693
44,gc_content,segment_320_722,BM,-222.22725325138296,0.017760661772152398,0.5304257429919463,0.5304257429919463
45,longest_ORF,segment_320_722,NeutralModel,-144.30857455044668,0.052149634615780496,0.18366559164322946,0.28872806639385395
46,longest_ORF,segment_320_722,NeutralModel (fixed u=1.3),-146.06483192187284,0.0534304289496565,0.18432028998096614,0.3287150446261206
47,longest_ORF,segment_320_722,OU,-148.99730545941418,0.06803138378534486,0.17538872923336737,0.24337475697021918
48,longest_ORF,segment_320_722,OU (Z0=Zeq),-150.4071655620025,0.053931556276260534,0.23214562192255675,0.23214562192255675
49,longest_ORF,segment_320_722,BM,-147.5708161932773,0.05641552120528856,0.20539785660777657,0.20539785660777657
50,A_percent,segment_320_722,NeutralModel,-253.95175847198755,0.004173232679628805,0.22020657096891702,0.25414562697531484
51,A_percent,segment_320_722,NeutralModel (fixed u=1.3),-256.09195593507,0.004281655945863078,0.21969175731420923,0.2501375279381152
52,A_percent,segment_320_722,OU,,,,
53,A_percent,segment_320_722,OU (Z0=Zeq),-260.0736575277056,0.003795587362841264,0.2241498596942342,0.2241498596942342
54,A_percent,segment_320_722,BM,-262.43664326343065,0.0037754822589986573,0.22414949578817325,0.22414949578817325
55,longest_ORF_alan,segment_320_722,NeutralModel,317.33872942945544,16234.166696127431,21.15078842103316,55.99429606199078
56,longest_ORF_alan,segment_320_722,NeutralModel (fixed u=1.3),315.3892329503229,17270.340936225395,23.571936396806187,54.08860603773603
57,longest_ORF_alan,segment_320_722,OU,317.2461180389577,13318.680206347311,27.03195704433273,0.35276845422034797
58,longest_ORF_alan,segment_320_722,OU (Z0=Zeq),312.5622306487495,13626.797888292394,36.755402787141485,36.755402787141485
59,longest_ORF_alan,segment_320_722,BM,312.3867105429914,13347.74237717114,26.89401687440954,26.89401687440954
60,gc_content,segment_10270_10563,NeutralModel,-195.94234646139216,0.02126807257492722,0.4795398582791197,0.3709581536588458
61,gc_content,segment_10270_10563,NeutralModel (fixed u=1.3),-198.4112177051297,0.021318793336015572,0.47863722770341516,0.393771025839873
62,gc_content,segment_10270_10563,OU,-199.5818452091144,0.02104770687206863,0.48089105086435235,-117.19794019602227
63,gc_content,segment_10270_10563,OU (Z0=Zeq),-198.38788127280296,0.024159744250824802,0.45850930691705527,0.45850930691705527
64,gc_content,segment_10270_10563,BM,-200.69500116457542,0.02288018627614147,0.4619037940965166,0.4619037940965166
65,longest_ORF,segment_10270_10563,NeutralModel,-170.0819642609821,0.05115057958943504,0.2846995255883632,0.3313232115619301
66,longest_ORF,segment_10270_10563,NeutralModel (fixed u=1.3),-172.07649905722897,0.051972131984746345,0.282854919811557,0.324526719792241
67,longest_ORF,segment_10270_10563,OU,-174.31663845328023,0.08163263319041986,0.29494033285666055,0.2424889487725906
68,longest_ORF,segment_10270_10563,OU (Z0=Zeq),-176.82287770842328,0.038348697847260776,0.29495466939366377,0.29495466939366377
69,longest_ORF,segment_10270_10563,BM,-179.1859044497973,0.041320161441594436,0.29494289692753856,0.29494289692753856
70,A_percent,segment_10270_10563,NeutralModel,-234.09101270603105,0.006553025841307301,0.21885859491332407,0.26098774705173605
